timestamp,machine_id,serial_no,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure
2025-01-01 00:00:00,M0000,SN-000001,L,299.609434,308.340017,1504.234135,6.936472,0.0,0
2025-01-01 01:00:00,M0000,SN-000002,L,296.920032,306.215196,1420.70541,27.845147,21.061519,0
2025-01-01 02:00:00,M0000,SN-000003,L,300.500902,310.731695,1920.611717,50.505668,34.116318,1
2025-01-01 03:00:00,M0000,SN-000004,L,300.881129,309.290518,1932.748012,37.440082,24.625891,0
2025-01-01 04:00:00,M0000,SN-000005,L,295.09793,304.879681,2250.565889,23.735909,45.501156,0
2025-01-01 05:00:00,M0000,SN-000006,L,296.395641,304.996883,2184.992878,23.144688,70.864969,0
2025-01-01 06:00:00,M0000,SN-000007,L,299.255681,308.079368,1753.71997,22.191573,76.064633,0
2025-01-01 07:00:00,M0000,SN-000008,L,298.367515,308.611793,1364.527942,18.012259,85.562104,0
2025-01-01 08:00:00,M0000,SN-000009,L,298.966398,304.976807,1688.312691,85.0,94.258522,1
2025-01-01 09:00:00,M0000,SN-000010,L,297.293912,304.349204,1876.030918,47.437777,104.929593,0
2025-01-01 10:00:00,M0000,SN-000011,L,300.758796,,1729.270864,62.168976,122.305753,0
2025-01-01 11:00:00,M0000,SN-000012,L,300.555584,306.05516,1597.737062,27.773063,129.981007,0
2025-01-01 12:00:00,M0000,SN-000013,L,299.132061,307.114665,1888.509685,35.351083,143.659371,0
2025-01-01 13:00:00,M0000,SN-000014,L,301.254482,311.378633,1623.614791,22.16115,156.62879,0
2025-01-01 14:00:00,M0000,SN-000015,L,299.935019,308.507693,1580.176871,5.0,162.575428,0
2025-01-01 15:00:00,M0000,SN-000016,L,297.281415,306.5781,1909.008492,5.549768,184.257035,0
2025-01-01 16:00:00,M0000,SN-000017,L,299.737502,310.371328,1659.302597,5.0,215.313957,0
2025-01-01 17:00:00,M0000,SN-000018,L,297.082235,308.073764,1885.436536,5.0,189.784107,0
2025-01-01 18:00:00,M0000,SN-000019,L,300.756901,309.653194,1895.621408,10.116026,218.5921,0
2025-01-01 19:00:00,M0000,SN-000020,L,298.900148,309.930527,1401.19985,73.123892,221.918479,1
2025-01-01 20:00:00,M0001,SN-000021,M,298.630275,307.768465,2200.0,38.889096,4.619221,0
2025-01-01 21:00:00,M0001,SN-000022,M,297.638141,305.382044,2200.0,72.264094,12.37246,0
2025-01-01 22:00:00,M0001,SN-000023,M,301.445083,309.553482,2200.0,50.274564,30.094838,1
2025-01-01 23:00:00,M0001,SN-000024,M,298.690941,305.470136,2200.0,59.563971,45.404053,0
2025-01-02 00:00:00,M0001,SN-000025,M,298.143344,305.811144,2200.0,17.477575,49.539369,0
2025-01-02 01:00:00,M0001,SN-000026,M,298.295733,306.758708,2200.0,53.098774,69.056418,0
2025-01-02 02:00:00,M0001,SN-000027,M,300.064618,310.269996,2200.0,58.217856,53.245617,1
2025-01-02 03:00:00,M0001,SN-000028,M,299.730888,311.312043,2200.0,25.583818,96.723618,0
2025-01-02 04:00:00,M0001,SN-000029,M,299.825465,306.752193,2200.0,53.988509,99.000497,1
2025-01-02 05:00:00,M0001,SN-000030,M,299.861642,309.450883,2200.0,54.154694,116.622747,0
2025-01-02 06:00:00,M0001,SN-000031,M,303.283295,310.722479,2200.0,26.261184,110.240994,1
2025-01-02 07:00:00,M0001,SN-000032,M,298.18717,307.899216,2200.0,11.930789,125.353841,0
2025-01-02 08:00:00,M0001,SN-000033,M,297.975515,306.778885,2200.0,10.396792,145.167506,0
2025-01-02 09:00:00,M0001,SN-000034,M,297.372455,303.626096,2200.0,42.162639,155.863697,0
2025-01-02 10:00:00,M0001,SN-000035,M,300.231959,310.624404,2200.0,48.175247,170.264549,1
2025-01-02 11:00:00,M0001,SN-000036,M,301.257945,309.350444,2200.0,20.186854,188.676121,1
2025-01-02 12:00:00,M0001,SN-000037,M,298.772105,306.971255,2200.0,40.664634,177.878237,0
2025-01-02 13:00:00,M0001,SN-000038,M,297.319687,304.715058,2200.0,54.263426,211.790553,1
2025-01-02 14:00:00,M0001,SN-000039,M,297.351038,305.369613,2200.0,55.454768,216.066255,0
2025-01-02 15:00:00,M0001,SN-000040,M,300.301186,309.943021,2200.0,78.797003,226.369745,1
2025-01-02 16:00:00,M0002,SN-000041,H,300.486508,309.202642,2466.771075,250.0,0.0,1
2025-01-02 17:00:00,M0002,SN-000042,H,300.086309,309.579302,1812.451767,250.0,16.024389,1
2025-01-02 18:00:00,M0002,SN-000043,H,297.668981,307.211863,2413.791859,82.089655,4.687137,1
2025-01-02 19:00:00,M0002,SN-000044,H,299.464323,310.445315,1767.345473,26.725587,41.187152,0
2025-01-02 20:00:00,M0002,SN-000045,H,299.233372,307.719192,1845.870239,66.12182,36.063153,0
2025-01-02 21:00:00,M0002,SN-000046,H,299.437377,306.22209,1927.916065,41.699666,60.427663,0
2025-01-02 22:00:00,M0002,SN-000047,H,300.742858,311.343691,2900.0,29.696266,71.046649,1
2025-01-02 23:00:00,M0002,SN-000048,H,299.447191,307.949959,2097.949951,5.0,93.356305,0
2025-01-03 00:00:00,M0002,SN-000049,H,300.357827,311.029716,1552.457415,35.710887,94.570759,0
2025-01-03 01:00:00,M0002,SN-000050,H,299.135158,308.710224,2139.149255,5.0,102.446892,0
2025-01-03 02:00:00,M0002,SN-000051,H,299.578239,308.381533,1673.358612,64.182481,115.947178,0
2025-01-03 03:00:00,M0002,SN-000052,H,300.262576,309.78574,1628.587436,77.919816,142.183062,0
2025-01-03 04:00:00,M0002,SN-000053,H,296.085688,308.012207,2118.010476,20.077225,148.290376,0
2025-01-03 05:00:00,M0002,SN-000054,H,298.360658,310.476128,1810.879956,47.549269,152.91496,1
2025-01-03 06:00:00,M0002,SN-000055,H,298.059255,307.163326,1897.50157,21.865212,166.108429,0
2025-01-03 07:00:00,M0002,SN-000056,H,297.722244,306.96253,1804.894828,24.287882,167.462583,0
2025-01-03 08:00:00,M0002,SN-000057,H,298.449715,309.064076,1917.804094,59.362368,195.107794,0
2025-01-03 09:00:00,M0002,SN-000058,H,301.989883,309.721391,1948.738064,39.036543,189.921474,0
2025-01-03 10:00:00,M0002,SN-000059,H,297.268338,306.767943,1200.0,83.491201,222.014372,0
2025-01-03 11:00:00,M0002,SN-000060,H,300.936557,309.897762,2033.300434,27.944188,229.028973,0
2025-01-03 12:00:00,M0003,SN-000061,L,295.63426,305.105123,1456.293203,64.983408,19.095614,0
2025-01-03 13:00:00,M0003,SN-000062,L,298.33023,306.080177,1295.195303,42.435335,3.198916,0
2025-01-03 14:00:00,M0003,SN-000063,L,299.325506,305.941155,1779.556065,59.89445,23.178703,0
2025-01-03 15:00:00,M0003,SN-000064,L,300.172445,306.06297,1829.393351,28.821059,50.386302,0
2025-01-03 16:00:00,M0003,SN-000065,L,300.422453,307.746377,1557.272842,38.761029,57.531117,0
2025-01-03 17:00:00,M0003,SN-000066,L,300.586694,308.898682,2090.86115,37.112528,54.430304,0
2025-01-03 18:00:00,M0003,SN-000067,L,298.30255,306.862762,1330.238692,19.098572,73.791739,0
2025-01-03 19:00:00,M0003,SN-000068,L,298.075296,309.981143,1657.569688,56.552038,84.015995,0
2025-01-03 20:00:00,M0003,SN-000069,L,300.715952,311.374942,1595.294053,56.256225,98.255647,0
2025-01-03 21:00:00,M0003,SN-000070,L,298.617391,306.174255,1783.694455,54.838867,102.410557,0
2025-01-03 22:00:00,M0003,SN-000071,L,296.448627,305.97019,1897.6025,78.424141,119.285437,0
2025-01-03 23:00:00,M0003,SN-000072,L,296.733426,305.122808,1447.237468,76.23362,119.215581,0
